raw_source_row_number,raw_source_sheet_name,parsed_school,parsed_level,parsed_nationality,parsed_applicant_citizenship,actual_target,predicted_probability_awarded,confidence_score,selected_threshold,approve_threshold,reject_threshold,fairness_risk_flag,fairness_risk_reason,recommended_action,action_reason,case_explanation
2365,Export,"Khaled Bin Al Walid, Beirut",Undergraduate,Lebanon,Lebanon Indonesia,1,0.8634394407272339,0.8634394407272339,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
608,Export,"Amjad School, Choueifat",Undergraduate,Lebanon,Lebanon,1,0.8269014954566956,0.8269014954566956,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2038,Export,"The National Evangelical Institute for Girls and Boys, Saida",Undergraduate,Lebanon,Lebanon,1,0.9475045204162598,0.9475045204162598,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1287,Export,"National Private School,Oman",Undergraduate,Lebanon,Lebanon,1,0.7523903250694275,0.7523903250694275,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1202,Export,"College des Saints Coeurs Sioufi, Achrafieh",Undergraduate,Lebanon,Lebanon,1,0.8254042863845825,0.8254042863845825,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2302,Export,"Antonine International School (AIS), Ajaltoun",Undergraduate,United States,United States Lebanon,0,0.7602509260177612,0.7602509260177612,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1647,Export,"Le Lycee National, Choueifat",Undergraduate,Lebanon,Lebanon,0,0.743354082107544,0.743354082107544,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1643,Export,"College Protestant Francais (CPF), Koraytem Beirut",Undergraduate,Lebanon,Lebanon,0,0.03215606510639191,0.9678439348936081,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1322,Export,"Saint Mary's Orthodox College (SMOC), Beirut",Undergraduate,Lebanon,Lebanon,1,0.9029136896133423,0.9029136896133423,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
893,Export,"College Protestant Francais (CPF), Koraytem Beirut",Undergraduate,Canada,Canada Egypt,1,0.9402456283569336,0.9402456283569336,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2293,Export,,Professional,Lebanon,Lebanon,0,0.3587842285633087,0.6412157714366913,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2790,Export,"Imam Jawad Secondary School, Ali El Nahri",Undergraduate,Lebanon,Lebanon,0,0.0653328225016594,0.9346671774983406,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1664,Export,"Official Secondary School, Choueifat",Undergraduate,Lebanon,Lebanon,1,0.9024470448493958,0.9024470448493958,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1716,Export,"Amjad School, Choueifat",Undergraduate,Lebanon,Lebanon,1,0.9222258925437927,0.9222258925437927,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2601,Export,"Eastwood College, Kfarshima",Undergraduate,Lebanon,Lebanon,1,0.9242861866950989,0.9242861866950989,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
73,Export,"Eastwood College, Kfarshima",Undergraduate,Australia,Australia Lebanon,0,0.1376255452632904,0.8623744547367096,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
138,Export,"Manar Modern School, Ras Al Maten",Undergraduate,Lebanon,Lebanon United States,1,0.8755789995193481,0.8755789995193481,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1013,Export,"College Notre Dame de Louaize (NDL), Zouk Mosbeh",Undergraduate,Lebanon,Lebanon,0,0.31448203325271606,0.6855179667472839,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
394,Export,,Graduate,Lebanon,Lebanon,1,0.9211018085479736,0.9211018085479736,0.105,0.8,0.05,True,parsed_level=Graduate,review,Manual review required because subgroup fairness safeguards were triggered.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2883,Export,"Lycee Franco Libanais, Nahr Ibrahim",Undergraduate,Lebanon,Lebanon,1,0.87752765417099,0.87752765417099,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1584,Export,"College Des Freres Mont la Salle (MLS), Ain Saade",Undergraduate,Lebanon,Lebanon,1,0.9088648557662964,0.9088648557662964,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1811,Export,"Al Iman School, Raml Al Zarif Beirut",Undergraduate,Lebanon,Lebanon,1,0.9232289791107178,0.9232289791107178,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1148,Export,Abdu Aziz International School,Undergraduate,Lebanon,Lebanon,0,0.07866660505533218,0.9213333949446678,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2582,Export,,Professional,Lebanon,Lebanon,0,0.0173473060131073,0.9826526939868927,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2654,Export,The International School of Choueifat - Koura,Undergraduate,Lebanon,Lebanon,0,0.01611110381782055,0.9838888961821795,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
