auto_zero_probability_max,auto_award_probability_min,max_interval_width,min_confidence,auto_zero_cases,auto_award_cases,review_cases,automation_rate,harmful_auto_zero_errors,harmful_auto_award_errors,severe_auto_award_errors,fairness_review_cases,fairness_tightened_cases,selection_score
0.05,0.75,18.0,0.5,45,8,416,0.1130063965884861,0,0,0,32,236,416.0
0.05,0.75,18.0,0.6,45,8,416,0.1130063965884861,0,0,0,32,236,416.0
0.05,0.75,18.0,0.7,45,8,416,0.1130063965884861,0,0,0,32,236,416.0
0.05,0.8,18.0,0.5,45,8,416,0.1130063965884861,0,0,0,32,236,416.0
0.05,0.8,18.0,0.6,45,8,416,0.1130063965884861,0,0,0,32,236,416.0
0.05,0.8,18.0,0.7,45,8,416,0.1130063965884861,0,0,0,32,236,416.0
0.05,0.85,18.0,0.5,45,8,416,0.1130063965884861,0,0,0,32,236,416.0
0.05,0.85,18.0,0.6,45,8,416,0.1130063965884861,0,0,0,32,236,416.0
0.05,0.85,18.0,0.7,45,8,416,0.1130063965884861,0,0,0,32,236,416.0
0.15,0.75,18.0,0.5,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.15,0.75,18.0,0.6,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.15,0.75,18.0,0.7,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.15,0.8,18.0,0.5,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.15,0.8,18.0,0.6,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.15,0.8,18.0,0.7,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.15,0.85,18.0,0.5,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.15,0.85,18.0,0.6,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.15,0.85,18.0,0.7,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.2,0.75,18.0,0.5,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.2,0.75,18.0,0.6,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.2,0.75,18.0,0.7,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.2,0.8,18.0,0.5,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.2,0.8,18.0,0.6,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.2,0.8,18.0,0.7,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.2,0.85,18.0,0.5,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.2,0.85,18.0,0.6,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.2,0.85,18.0,0.7,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.25,0.75,18.0,0.5,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.25,0.75,18.0,0.6,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.25,0.75,18.0,0.7,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.25,0.8,18.0,0.5,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.25,0.8,18.0,0.6,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.25,0.8,18.0,0.7,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.25,0.85,18.0,0.5,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.25,0.85,18.0,0.6,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.25,0.85,18.0,0.7,61,8,400,0.14712153518123672,2,0,0,32,236,416.0
0.1,0.75,18.0,0.5,59,8,402,0.1428571428571429,2,0,0,32,236,418.0
0.1,0.75,18.0,0.6,59,8,402,0.1428571428571429,2,0,0,32,236,418.0
0.1,0.75,18.0,0.7,59,8,402,0.1428571428571429,2,0,0,32,236,418.0
0.1,0.8,18.0,0.5,59,8,402,0.1428571428571429,2,0,0,32,236,418.0
0.1,0.8,18.0,0.6,59,8,402,0.1428571428571429,2,0,0,32,236,418.0
0.1,0.8,18.0,0.7,59,8,402,0.1428571428571429,2,0,0,32,236,418.0
0.1,0.85,18.0,0.5,59,8,402,0.1428571428571429,2,0,0,32,236,418.0
0.1,0.85,18.0,0.6,59,8,402,0.1428571428571429,2,0,0,32,236,418.0
0.1,0.85,18.0,0.7,59,8,402,0.1428571428571429,2,0,0,32,236,418.0
0.05,0.9,18.0,0.5,45,5,419,0.10660980810234544,0,0,0,32,236,419.0
0.05,0.9,18.0,0.6,45,5,419,0.10660980810234544,0,0,0,32,236,419.0
0.05,0.9,18.0,0.7,45,5,419,0.10660980810234544,0,0,0,32,236,419.0
0.15,0.9,18.0,0.5,61,5,403,0.14072494669509594,2,0,0,32,236,419.0
0.15,0.9,18.0,0.6,61,5,403,0.14072494669509594,2,0,0,32,236,419.0
0.15,0.9,18.0,0.7,61,5,403,0.14072494669509594,2,0,0,32,236,419.0
0.2,0.9,18.0,0.5,61,5,403,0.14072494669509594,2,0,0,32,236,419.0
0.2,0.9,18.0,0.6,61,5,403,0.14072494669509594,2,0,0,32,236,419.0
0.2,0.9,18.0,0.7,61,5,403,0.14072494669509594,2,0,0,32,236,419.0
0.25,0.9,18.0,0.5,61,5,403,0.14072494669509594,2,0,0,32,236,419.0
0.25,0.9,18.0,0.6,61,5,403,0.14072494669509594,2,0,0,32,236,419.0
0.25,0.9,18.0,0.7,61,5,403,0.14072494669509594,2,0,0,32,236,419.0
0.1,0.9,18.0,0.5,59,5,405,0.13646055437100213,2,0,0,32,236,421.0
0.1,0.9,18.0,0.6,59,5,405,0.13646055437100213,2,0,0,32,236,421.0
0.1,0.9,18.0,0.7,59,5,405,0.13646055437100213,2,0,0,32,236,421.0
0.05,0.75,15.0,0.5,45,2,422,0.10021321961620466,0,0,0,32,236,422.0
0.05,0.75,15.0,0.6,45,2,422,0.10021321961620466,0,0,0,32,236,422.0
0.05,0.75,15.0,0.7,45,2,422,0.10021321961620466,0,0,0,32,236,422.0
0.05,0.8,15.0,0.5,45,2,422,0.10021321961620466,0,0,0,32,236,422.0
0.05,0.8,15.0,0.6,45,2,422,0.10021321961620466,0,0,0,32,236,422.0
0.05,0.8,15.0,0.7,45,2,422,0.10021321961620466,0,0,0,32,236,422.0
0.05,0.85,15.0,0.5,45,2,422,0.10021321961620466,0,0,0,32,236,422.0
0.05,0.85,15.0,0.6,45,2,422,0.10021321961620466,0,0,0,32,236,422.0
0.05,0.85,15.0,0.7,45,2,422,0.10021321961620466,0,0,0,32,236,422.0
0.05,0.9,15.0,0.5,45,2,422,0.10021321961620466,0,0,0,32,236,422.0
0.05,0.9,15.0,0.6,45,2,422,0.10021321961620466,0,0,0,32,236,422.0
0.05,0.9,15.0,0.7,45,2,422,0.10021321961620466,0,0,0,32,236,422.0
0.15,0.75,15.0,0.5,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.15,0.75,15.0,0.6,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.15,0.75,15.0,0.7,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.15,0.8,15.0,0.5,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.15,0.8,15.0,0.6,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.15,0.8,15.0,0.7,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.15,0.85,15.0,0.5,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.15,0.85,15.0,0.6,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.15,0.85,15.0,0.7,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.15,0.9,15.0,0.5,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.15,0.9,15.0,0.6,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.15,0.9,15.0,0.7,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.2,0.75,15.0,0.5,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.2,0.75,15.0,0.6,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.2,0.75,15.0,0.7,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.2,0.8,15.0,0.5,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.2,0.8,15.0,0.6,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.2,0.8,15.0,0.7,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.2,0.85,15.0,0.5,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.2,0.85,15.0,0.6,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.2,0.85,15.0,0.7,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.2,0.9,15.0,0.5,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.2,0.9,15.0,0.6,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.2,0.9,15.0,0.7,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.25,0.75,15.0,0.5,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.25,0.75,15.0,0.6,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.25,0.75,15.0,0.7,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.25,0.8,15.0,0.5,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.25,0.8,15.0,0.6,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.25,0.8,15.0,0.7,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.25,0.85,15.0,0.5,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.25,0.85,15.0,0.6,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.25,0.85,15.0,0.7,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.25,0.9,15.0,0.5,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.25,0.9,15.0,0.6,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.25,0.9,15.0,0.7,61,2,406,0.13432835820895528,2,0,0,32,236,422.0
0.1,0.75,12.0,0.5,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.1,0.75,12.0,0.6,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.1,0.75,12.0,0.7,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.1,0.8,12.0,0.5,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.1,0.8,12.0,0.6,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.1,0.8,12.0,0.7,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.1,0.85,12.0,0.5,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.1,0.85,12.0,0.6,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.1,0.85,12.0,0.7,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.1,0.9,12.0,0.5,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.1,0.9,12.0,0.6,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.1,0.9,12.0,0.7,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.15,0.75,12.0,0.5,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.15,0.75,12.0,0.6,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.15,0.75,12.0,0.7,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.15,0.8,12.0,0.5,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.15,0.8,12.0,0.6,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
0.15,0.8,12.0,0.7,54,0,415,0.11513859275053306,1,0,0,32,236,423.0
