source_sheet_name,source_row_number,application_term,level,decision,school,parent_qa_requires_review,parent_qa_issue_count,record_index,assistant_raw_line,assistant_subject,assistant_amount_text,assistant_amount_per_occurrence,assistant_frequency_multiplier,assistant_estimated_annual_amount,assistant_currency_signal,assistant_currency_guess,assistant_parse_method,assistant_review_flag,assistant_review_reasons
Export,4,202510,Graduate,awarded,,1,2,1,Mother Monthly 300$,Mother,300$,300.0,12,3600.0,usd,usd,line_amount_then_cadence,0,
Export,17,202610,Undergraduate,awarded,"Amjad School, Choueifat",0,0,1,Employer Yearly 3500,Employer,3500,3500.0,1,3500.0,,unknown,line_amount_then_cadence,0,
Export,19,202510,Graduate,awarded,,1,2,1,Neice monthly 900 USD,Neice,900 USD,900.0,12,10800.0,usd,usd,line_amount_then_cadence,0,
Export,44,202510,Graduate,awarded,,1,2,1,Brother Every few months 300-500$,Brother,300-500$,400.0,4,1600.0,usd,usd,line_amount_then_cadence,0,
Export,53,202610,Undergraduate,awarded,"Saint Mary's Orthodox College (SMOC), Beirut",0,0,1,Uncle Every 4 Months 300,Uncle,300,300.0,3.0,900.0,,unknown,line_amount_then_cadence,0,
Export,74,202710,Undergraduate,awarded,"Nazareth Secondary School Baddawi UNRWA, North Beddewi Camp",0,0,1,Sibling Monthly 250,Sibling,250,250.0,12,3000.0,,unknown,line_amount_then_cadence,0,
Export,74,202710,Undergraduate,awarded,"Nazareth Secondary School Baddawi UNRWA, North Beddewi Camp",0,0,2,Sibling Monthly 250,Sibling,250,250.0,12,3000.0,,unknown,line_amount_then_cadence,0,
Export,88,202610,Undergraduate,denied,College Catholique Bilingue Saint Benoit,0,0,1,Sibling Monthly 169,Sibling,169,169.0,12,2028.0,,unknown,line_amount_then_cadence,0,
Export,97,202520,Graduate,awarded,,1,2,1,Grandfather from my father's side Yearly 1000$,Grandfather from my father's side,1000$,1000.0,1,1000.0,usd,usd,line_amount_then_cadence,0,
Export,119,202610,Undergraduate,awarded,"Ali Bin Abi Taleb School, Beirut",0,0,1,Uncle Yearly 1000$(school),Uncle,1000$(school),1000.0,1,1000.0,usd,usd,line_amount_then_cadence,0,
Export,119,202610,Undergraduate,awarded,"Ali Bin Abi Taleb School, Beirut",0,0,2,Grandfather Yearly 1000$(school),Grandfather,1000$(school),1000.0,1,1000.0,usd,usd,line_amount_then_cadence,0,
Export,126,202510,Graduate,awarded,,1,2,1,Sister Monthly 200$,Sister,200$,200.0,12,2400.0,usd,usd,line_amount_then_cadence,0,
Export,134,202510,Graduate,awarded,,1,2,1,Brother Monthly (irregular) 100$,Brother,(irregular) 100$,100.0,12,1200.0,usd,usd,line_amount_then_cadence,0,
Export,135,202520,Undergraduate,awarded,,1,3,1,brother Yearly 1000,brother,1000,1000.0,1,1000.0,,unknown,line_amount_then_cadence,0,
Export,136,202610,Undergraduate,awarded,"Lycee de la Finesse, Haret Hreik",0,0,1,My uncle Monthly 600,My uncle,600,600.0,12,7200.0,,unknown,line_amount_then_cadence,0,
Export,143,202610,Undergraduate,awarded,"Beirut Evangelical School for Boys and Girls (BESBG), Antelias",0,0,1,uncle monthly $900,uncle,$900,900.0,12,10800.0,usd,usd,line_amount_then_cadence,0,
Export,146,202610,Undergraduate,denied,"Al Hidaya High School, Bchamoun",0,0,1,Father Monthly 300$ (school fees),Father,300$ (school fees),300.0,12,3600.0,usd,usd,line_amount_then_cadence,0,
Export,153,202710,Undergraduate,,"The National Evangelical Institute for Girls and Boys, Saida",1,1,1,Siblings Monthly 30,Siblings,30,30.0,12,360.0,,unknown,line_amount_then_cadence,0,
Export,156,202610,Undergraduate,awarded,"Ali Bin Abi Taleb School, Beirut",0,0,1,Aunt monthly 200$,Aunt,200$,200.0,12,2400.0,usd,usd,line_amount_then_cadence,0,
Export,156,202610,Undergraduate,awarded,"Ali Bin Abi Taleb School, Beirut",0,0,2,school yearly 450$,school,450$,450.0,1,450.0,usd,usd,line_amount_then_cadence,0,
Export,182,202710,Undergraduate,denied,SABIS International School - Adma,0,0,1,Grandfather Monthly 1500,Grandfather,1500,1500.0,12,18000.0,,unknown,line_amount_then_cadence,0,
Export,187,202610,Undergraduate,denied,"Brummana High School (BHS), Brummana",0,0,1,Aunt Monthly 2500,Aunt,2500,2500.0,12,30000.0,,unknown,line_amount_then_cadence,0,
Export,209,202611,Professional,awarded,,1,2,1,Scholarship donor Per semester 2300$ for my univeristy tuition,Scholarship donor Per,2300$ for my univeristy tuition,2300.0,2,4600.0,usd,usd,line_amount_then_cadence,0,
Export,209,202611,Professional,awarded,,1,2,2,Scholarship donor Yearly 1000$ for my brother's school tuition,Scholarship donor,1000$ for my brother's school tuition,1000.0,1,1000.0,usd,usd,line_amount_then_cadence,0,
Export,225,202610,Undergraduate,awarded,"Lycee Abdel Kader, Beirut",0,0,1,retirement salary of my father monthly 220,retirement salary of my father,220,220.0,12,2640.0,,unknown,line_amount_then_cadence,0,
Export,237,202510,Graduate,denied,,1,2,1,Scholar monthly 400,Scholar,400,400.0,12,4800.0,,unknown,line_amount_then_cadence,0,
Export,237,202510,Graduate,denied,,1,2,2,uncle monthly 300,uncle,300,300.0,12,3600.0,,unknown,line_amount_then_cadence,0,
Export,254,202610,Undergraduate,awarded,"Khaled Bin Al Walid, Beirut",0,0,1,Nephew Monthly 600,Nephew,600,600.0,12,7200.0,,unknown,line_amount_then_cadence,0,
Export,287,202610,Undergraduate,awarded,"Lady of Balamand High School, Kelhat",0,0,1,My brother monthly 250,My brother,250,250.0,12,3000.0,,unknown,line_amount_then_cadence,0,
Export,288,202510,Graduate,awarded,,1,2,1,Aunt Monthly 300,Aunt,300,300.0,12,3600.0,,unknown,line_amount_then_cadence,0,
Export,294,202610,Undergraduate,awarded,"Ecole des Filles de la Charite, Clemeceau",0,0,1,Employee Yearly between 30% - 40%,Employee,between 30% - 40%,30.0,1,30.0,,unknown,line_amount_then_cadence,0,
Export,299,202610,Undergraduate,denied,"Le Lycee National, Choueifat",1,1,1,uncle monthly 100 to 150 usd,uncle,100 to 150 usd,100.0,12,1200.0,usd,usd,line_amount_then_cadence,0,
