source_row_number,field_name,issue_code,raw_value,detail
4,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
4,School,school_missing,,School is blank in the source export
9,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
9,School,school_missing,,School is blank in the source export
13,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
13,School,school_missing,,School is blank in the source export
19,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
19,School,school_missing,,School is blank in the source export
24,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
31,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
31,School,school_missing,,School is blank in the source export
32,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
33,Loans,mixed_currency_signal,"Reason: housing
Source: Banque de l ' Habitat
Mortgaged Asset: hypotheque
Start Date: 2017-09-29
End Date: 2032-08-29
Total Amount: 100,000,000 L.L.
Monthly Payment: 970,054 L.L. + $40
Remaining Balance: 7 years
Remaining Years: 7 years",Contains both USD and LBP/L.L. markers
33,Loans,loan_remaining_balance_non_monetary_text,"Reason: housing
Source: Banque de l ' Habitat
Mortgaged Asset: hypotheque
Start Date: 2017-09-29
End Date: 2032-08-29
Total Amount: 100,000,000 L.L.
Monthly Payment: 970,054 L.L. + $40
Remaining Balance: 7 years
Remaining Years: 7 years",Remaining Balance contains duration text instead of a monetary amount
33,Loans,large_monetary_value_review,"Reason: housing
Source: Banque de l ' Habitat
Mortgaged Asset: hypotheque
Start Date: 2017-09-29
End Date: 2032-08-29
Total Amount: 100,000,000 L.L.
Monthly Payment: 970,054 L.L. + $40
Remaining Balance: 7 years
Remaining Years: 7 years",loans_total_amount=100000000.0; currency_signal=mixed; currency_guess=mixed
35,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
37,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
37,School,school_missing,,School is blank in the source export
41,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
41,School,school_missing,,School is blank in the source export
44,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
44,School,school_missing,,School is blank in the source export
45,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
45,School,school_missing,,School is blank in the source export
47,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
47,School,school_missing,,School is blank in the source export
49,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
52,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
54,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
54,School,school_missing,,School is blank in the source export
54,School,school_missing_undergraduate,,School is blank for an undergraduate application
55,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
55,School,school_missing,,School is blank in the source export
55,School,school_missing_undergraduate,,School is blank for an undergraduate application
56,Loans,likely_lbp_without_currency_marker,"Reason: social living circumstances due to the economic crisis
Source: مصرف لبنان
Mortgaged Asset: Nothing because it is a social loan
Start Date: 2024-10-01
End Date: 2027-10-01
Total Amount: 210000000
Monthly Payment: 4900000
Remaining Balance: 210000000
Remaining Years: 3

Reason: social living circumstances due to the economic crisis
Source: مصرف لبنان
Mortgaged Asset: Nothing because it is a social loan
Start Date: 2024-10-01
End Date: 2025-10-01
Total Amount: 90000000
Monthly Payment: 6100000
Remaining Balance: 90000000
Remaining Years: 1",loans_total_amount=300000000.0; currency_signal=none; currency_guess=likely_lbp_unmarked
56,Loans,likely_lbp_without_currency_marker,"Reason: social living circumstances due to the economic crisis
Source: مصرف لبنان
Mortgaged Asset: Nothing because it is a social loan
Start Date: 2024-10-01
End Date: 2027-10-01
Total Amount: 210000000
Monthly Payment: 4900000
Remaining Balance: 210000000
Remaining Years: 3

Reason: social living circumstances due to the economic crisis
Source: مصرف لبنان
Mortgaged Asset: Nothing because it is a social loan
Start Date: 2024-10-01
End Date: 2025-10-01
Total Amount: 90000000
Monthly Payment: 6100000
Remaining Balance: 90000000
Remaining Years: 1",loans_total_monthly_payment=11000000.0; currency_signal=none; currency_guess=likely_lbp_unmarked
56,Loans,likely_lbp_without_currency_marker,"Reason: social living circumstances due to the economic crisis
Source: مصرف لبنان
Mortgaged Asset: Nothing because it is a social loan
Start Date: 2024-10-01
End Date: 2027-10-01
Total Amount: 210000000
Monthly Payment: 4900000
Remaining Balance: 210000000
Remaining Years: 3

Reason: social living circumstances due to the economic crisis
Source: مصرف لبنان
Mortgaged Asset: Nothing because it is a social loan
Start Date: 2024-10-01
End Date: 2025-10-01
Total Amount: 90000000
Monthly Payment: 6100000
Remaining Balance: 90000000
Remaining Years: 1",loans_total_remaining_balance=300000000.0; currency_signal=none; currency_guess=likely_lbp_unmarked
58,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
59,Father Income Document,likely_lbp_without_currency_marker,1090000,father_income_document=1090000.0; currency_signal=none; currency_guess=likely_lbp_unmarked
61,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
61,School,school_missing,,School is blank in the source export
