source_sheet_name,source_row_number,application_term,level,decision,school,parent_qa_requires_review,parent_qa_issue_count,record_index,loan_reason,loan_source,loan_mortgaged_asset,loan_start_date,loan_end_date,loan_total_amount_raw,loan_total_amount,loan_total_amount_currency_signal,loan_total_amount_currency_guess,loan_monthly_payment_raw,loan_monthly_payment,loan_remaining_balance_raw,loan_remaining_balance,loan_remaining_balance_is_duration_flag,loan_remaining_years_raw,loan_remaining_years,loan_parse_method,loan_review_flag,loan_review_reasons,loan_raw_block
Export,7,202710,Undergraduate,awarded,"Lebanese National School, Bar Elias",0,0,1,Medical Expenses,Credit card,0,2019-01-16,2029-11-30,"21,000",21000.0,,unknown,350,350.0,"19,514",19514.0,0,5,5.0,loan_section_key_value,0,,"Reason: Medical Expenses
Source: Credit card
Mortgaged Asset: 0
Start Date: 2019-01-16
End Date: 2029-11-30
Total Amount: 21,000
Monthly Payment: 350
Remaining Balance: 19,514
Remaining Years: 5"
Export,7,202710,Undergraduate,awarded,"Lebanese National School, Bar Elias",0,0,2,Medical Expenses,Credit Card,0,2019-06-23,2025-11-30,"25,000",25000.0,,unknown,300,300.0,"21,369",21369.0,0,8,8.0,loan_section_key_value,0,,"Reason: Medical Expenses
Source: Credit Card
Mortgaged Asset: 0
Start Date: 2019-06-23
End Date: 2025-11-30
Total Amount: 25,000
Monthly Payment: 300
Remaining Balance: 21,369
Remaining Years: 8"
Export,7,202710,Undergraduate,awarded,"Lebanese National School, Bar Elias",0,0,3,Medical Expenese,Credit Card,0,2017-10-14,2026-12-31,"11,000",11000.0,,unknown,120,120.0,"1,352",1352.0,0,1,1.0,loan_section_key_value,0,,"Reason: Medical Expenese
Source: Credit Card
Mortgaged Asset: 0
Start Date: 2017-10-14
End Date: 2026-12-31
Total Amount: 11,000
Monthly Payment: 120
Remaining Balance: 1,352
Remaining Years: 1"
Export,33,202610,Undergraduate,denied,Antonine Sisters School - Mar Elias Ghazir,1,3,1,housing,Banque de l ' Habitat,hypotheque,2017-09-29,2032-08-29,"100,000,000 L.L.",100000000.0,lbp,lbp,"970,054 L.L. + $40",970054.0,7 years,,1,7 years,7.0,loan_section_key_value,1,mixed_currency; remaining_balance_non_monetary_text,"Reason: housing
Source: Banque de l ' Habitat
Mortgaged Asset: hypotheque
Start Date: 2017-09-29
End Date: 2032-08-29
Total Amount: 100,000,000 L.L.
Monthly Payment: 970,054 L.L. + $40
Remaining Balance: 7 years
Remaining Years: 7 years"
Export,39,202710,Undergraduate,awarded,"Saint Joseph School Cornet Shehwan, Cornet Chahwan",0,0,1,To pay tuition feese,BLOM BANK,Salary,2025-09-11,2027-09-05,"5,000$",5000.0,usd,usd,283$,283.0,4434,4434.0,0,2,2.0,loan_section_key_value,0,,"Reason: To pay tuition feese
Source: BLOM BANK
Mortgaged Asset: Salary
Start Date: 2025-09-11
End Date: 2027-09-05
Total Amount: 5,000$
Monthly Payment: 283$
Remaining Balance: 4434
Remaining Years: 2"
Export,47,202510,Graduate,denied,,1,2,1,Financial Support,Gulf Bank,None,2024-05-27,2026-04-27,25600,25600.0,,unknown,1149,1149.0,25600,25600.0,0,1,1.0,loan_section_key_value,0,,"Reason: Financial Support
Source: Gulf Bank
Mortgaged Asset: None
Start Date: 2024-05-27
End Date: 2026-04-27
Total Amount: 25600
Monthly Payment: 1149
Remaining Balance: 25600
Remaining Years: 1"
Export,48,202610,Undergraduate,awarded,"Le Lycee National, Choueifat",0,0,1,Payment of my sister's tuition at AUB,AL- Quard El Hassan,Gold,2024-07-11,2026-11-01,1891,1891.0,,unknown,105,105.0,1880,1880.0,0,2,2.0,loan_section_key_value,0,,"Reason: Payment of my sister's tuition at AUB
Source: AL- Quard El Hassan
Mortgaged Asset: Gold
Start Date: 2024-07-11
End Date: 2026-11-01
Total Amount: 1891
Monthly Payment: 105
Remaining Balance: 1880
Remaining Years: 2"
Export,51,202710,Undergraduate,denied,King Khaled International School,0,0,1,Transportation,Riyad Bank,Car,2022-10-31,2027-10-30,"41,234 USD",41234.0,usd,usd,592 USD,592.0,"31,580 USD",31580.0,0,2,2.0,loan_section_key_value,0,,"Reason: Transportation
Source: Riyad Bank
Mortgaged Asset: Car
Start Date: 2022-10-31
End Date: 2027-10-30
Total Amount: 41,234 USD
Monthly Payment: 592 USD
Remaining Balance: 31,580 USD
Remaining Years: 2"
Export,56,202520,Undergraduate,awarded,"Al Hadi Insitute for Deaf Blind and Learning Disabilities, Ghobeiry",1,3,1,social living circumstances due to the economic crisis,مصرف لبنان,Nothing because it is a social loan,2024-10-01,2027-10-01,210000000,210000000.0,,likely_lbp_unmarked,4900000,4900000.0,210000000,210000000.0,0,3,3.0,loan_section_key_value,0,,"Reason: social living circumstances due to the economic crisis
Source: مصرف لبنان
Mortgaged Asset: Nothing because it is a social loan
Start Date: 2024-10-01
End Date: 2027-10-01
Total Amount: 210000000
Monthly Payment: 4900000
Remaining Balance: 210000000
Remaining Years: 3"
Export,56,202520,Undergraduate,awarded,"Al Hadi Insitute for Deaf Blind and Learning Disabilities, Ghobeiry",1,3,2,social living circumstances due to the economic crisis,مصرف لبنان,Nothing because it is a social loan,2024-10-01,2025-10-01,90000000,90000000.0,,unknown,6100000,6100000.0,90000000,90000000.0,0,1,1.0,loan_section_key_value,0,,"Reason: social living circumstances due to the economic crisis
Source: مصرف لبنان
Mortgaged Asset: Nothing because it is a social loan
Start Date: 2024-10-01
End Date: 2025-10-01
Total Amount: 90000000
Monthly Payment: 6100000
Remaining Balance: 90000000
Remaining Years: 1"
Export,59,202610,Undergraduate,denied,"Saint Mary's Orthodox College (SMOC), Beirut",1,1,1,Expenses,Discover Personal Loans,no,2023-12-31,2027-01-27,"40,000",40000.0,,unknown,"1,422",1422.0,"32,097",32097.0,0,2,2.0,loan_section_key_value,0,,"Reason: Expenses
Source: Discover Personal Loans
Mortgaged Asset: no
Start Date: 2023-12-31
End Date: 2027-01-27
Total Amount: 40,000
Monthly Payment: 1,422
Remaining Balance: 32,097
Remaining Years: 2"
Export,62,202610,Undergraduate,awarded,"Lady of Balamand High School, Kelhat",1,1,1,Construction,Byblos Bank,Land 532,2018-09-22,2025-09-22,135000000 Lbp,135000000.0,lbp,lbp,2198302 Lbp,2198302.0,23085054 Lbp,23085054.0,0,1 year,1.0,loan_section_key_value,0,,"Reason: Construction
Source: Byblos Bank
Mortgaged Asset: Land 532
Start Date: 2018-09-22
End Date: 2025-09-22
Total Amount: 135000000 Lbp
Monthly Payment: 2198302 Lbp
Remaining Balance: 23085054 Lbp
Remaining Years: 1 year"
Export,67,202610,Undergraduate,awarded,"Lebanese Modern College, Hasbaya",0,0,1,"As the banks aren't providing any loans nowadays and they offer to give you your money at an absurd exchange rate that is 15000 lebanese pounds for each dollar, we were forced to borrow 37000$ from Saleh Sharrouf, my granpa (mother's father) to fund our solar shop and to buy equipment.",Grandpa (mother's father),Not found/It's a trust based thing to be honest,2022-08-01,2031-03-01,37000$,37000.0,usd,usd,400$,400.0,"25,800$",25800.0,0,7,7.0,loan_section_key_value,0,,"Reason: As the banks aren't providing any loans nowadays and they offer to give you your money at an absurd exchange rate that is 15000 lebanese pounds for each dollar, we were forced to borrow 37000$ from Saleh Sharrouf, my granpa (mother's father) to fund our solar shop and to buy equipment.
Source: Grandpa (mother's father)
Mortgaged Asset: Not found/It's a trust based thing to be honest
Start Date: 2022-08-01
End Date: 2031-03-01
Total Amount: 37000$
Monthly Payment: 400$
Remaining Balance: 25,800$
Remaining Years: 7"
Export,69,202510,Undergraduate,denied,"College Des Saints Coeur Kfarhbab, Kfarhbab Keserwan",0,0,1,Home Loan,General Organization for Housing,Home Sarba 1704 #22,2018-07-05,2032-06-05,567,567.0,,unknown,3.35,3.35,342,342.0,0,9,9.0,loan_section_key_value,0,,"Reason: Home Loan
Source: General Organization for Housing
Mortgaged Asset: Home Sarba 1704 #22
Start Date: 2018-07-05
End Date: 2032-06-05
Total Amount: 567
Monthly Payment: 3.35
Remaining Balance: 342
Remaining Years: 9"
Export,69,202510,Undergraduate,denied,"College Des Saints Coeur Kfarhbab, Kfarhbab Keserwan",0,0,2,Car Loan,Fransabank,The Car,2017-12-21,2022-12-31,82620,82620.0,,unknown,1377,1377.0,37510,37510.0,0,27 months,27.0,loan_section_key_value,0,,"Reason: Car Loan
Source: Fransabank
Mortgaged Asset: The Car
Start Date: 2017-12-21
End Date: 2022-12-31
Total Amount: 82620
Monthly Payment: 1377
Remaining Balance: 37510
Remaining Years: 27 months"
Export,75,202510,Undergraduate,awarded,"Lycee Charlemagne, Roumieh",1,2,1,Housing,Bank of beirut,Apartment,2010-03-18,2029-03-18,"716,000,000 LBP",716000000.0,lbp,lbp,"3,764,000 LBP",3764000.0,"241,591,000 LBP",241591000.0,0,6 years,6.0,loan_section_key_value,0,,"Reason: Housing
Source: Bank of beirut
Mortgaged Asset: Apartment
Start Date: 2010-03-18
End Date: 2029-03-18
Total Amount: 716,000,000 LBP
Monthly Payment: 3,764,000 LBP
Remaining Balance: 241,591,000 LBP
Remaining Years: 6 years"
Export,107,202520,Undergraduate,denied,International School of Choueifat: Sharjah,1,2,1,Expenses are high,ADIB Bank,End of service indemnity,2024-03-05,2028-03-27,140000,140000.0,,unknown,3433,3433.0,144000,144000.0,0,3 and half,3.0,loan_section_key_value,0,,"Reason: Expenses are high
Source: ADIB Bank
Mortgaged Asset: End of service indemnity
Start Date: 2024-03-05
End Date: 2028-03-27
Total Amount: 140000
Monthly Payment: 3433
Remaining Balance: 144000
Remaining Years: 3 and half"
Export,107,202520,Undergraduate,denied,International School of Choueifat: Sharjah,1,2,2,High Expenses,ADIB Bank,End of Service Indemnity,2021-09-26,2024-11-26,40000,40000.0,,unknown,1280,1280.0,3837,3837.0,0,2 months,2.0,loan_section_key_value,0,,"Reason: High Expenses
Source: ADIB Bank
Mortgaged Asset: End of Service Indemnity
Start Date: 2021-09-26
End Date: 2024-11-26
Total Amount: 40000
Monthly Payment: 1280
Remaining Balance: 3837
Remaining Years: 2 months"
Export,112,202611,Professional,awarded,,1,2,1,House Loan,BLOM Bank,House,2010-04-15,2026-04-05,162000,162000.0,,unknown,1325,1325.0,362,362.0,0,1.416,1.416,loan_section_key_value,0,,"Reason: House Loan
Source: BLOM Bank
Mortgaged Asset: House
Start Date: 2010-04-15
End Date: 2026-04-05
Total Amount: 162000
Monthly Payment: 1325
Remaining Balance: 362
Remaining Years: 1.416"
Export,112,202611,Professional,awarded,,1,2,2,US Federal Student loan,US department of education,Education,2022-09-01,2025-06-01,15000,15000.0,,unknown,0,0.0,15000,15000.0,0,N/A,,loan_section_key_value,1,remaining_years_unparsed,"Reason: US Federal Student loan
Source: US department of education
Mortgaged Asset: Education
Start Date: 2022-09-01
End Date: 2025-06-01
Total Amount: 15000
Monthly Payment: 0
Remaining Balance: 15000
Remaining Years: N/A"
Export,112,202611,Professional,awarded,,1,2,3,Student loan LAU,Lebanese American University,Education,2022-09-01,2025-06-01,5685,5685.0,,unknown,0,0.0,5685,5685.0,0,N/A,,loan_section_key_value,1,remaining_years_unparsed,"Reason: Student loan LAU
Source: Lebanese American University
Mortgaged Asset: Education
Start Date: 2022-09-01
End Date: 2025-06-01
Total Amount: 5685
Monthly Payment: 0
Remaining Balance: 5685
Remaining Years: N/A"
Export,112,202611,Professional,awarded,,1,2,4,Personal Loan,Customs COOP,Personal Loan,2022-08-01,2027-07-01,570,570.0,,unknown,9.5,9.5,304,304.0,0,N/A,,loan_section_key_value,1,remaining_years_unparsed,"Reason: Personal Loan
Source: Customs COOP
Mortgaged Asset: Personal Loan
Start Date: 2022-08-01
End Date: 2027-07-01
Total Amount: 570
Monthly Payment: 9.5
Remaining Balance: 304
Remaining Years: N/A"
Export,113,202610,Undergraduate,denied,"L'Athenee de Beyrouth, Bsalim",0,0,1,Car purchase,The Bible Society,none - it is an internal agreement with the Bible Society,2025-04-01,2025-12-31,10000,10000.0,,unknown,1100,1100.0,8900,8900.0,0,1,1.0,loan_section_key_value,0,,"Reason: Car purchase
Source: The Bible Society
Mortgaged Asset: none - it is an internal agreement with the Bible Society
Start Date: 2025-04-01
End Date: 2025-12-31
Total Amount: 10000
Monthly Payment: 1100
Remaining Balance: 8900
Remaining Years: 1"
Export,122,202520,Undergraduate,denied,,1,3,1,to buy a house,lebanese housing bank /BBAC,House,2016-09-17,2028-09-17,270 000 000 LL,270.0,lbp,lbp,1 875 000 LL,1.0,90 000 000,90.0,0,4 years,4.0,loan_section_key_value,0,,"Reason: to buy a house
Source: lebanese housing bank /BBAC
Mortgaged Asset: House
Start Date: 2016-09-17
End Date: 2028-09-17
Total Amount: 270 000 000 LL
Monthly Payment: 1 875 000 LL
Remaining Balance: 90 000 000
Remaining Years: 4 years"
Export,129,202510,Graduate,awarded,,1,2,1,The purpose of the loan is to assist us in saving up money towards purchasing a car due to the poor condition of the current vehicle.,AL-QARD AL-HASAN,gold,2022-08-01,2025-07-01,4952,4952.0,,unknown,137$,137.0,2212$,2212.0,0,1 year,1.0,loan_section_key_value,0,,"Reason: The purpose of the loan is to assist us in saving up money towards purchasing a car due to the poor condition of the current vehicle.
Source: AL-QARD AL-HASAN
Mortgaged Asset: gold
Start Date: 2022-08-01
End Date: 2025-07-01
Total Amount: 4952
Monthly Payment: 137$
Remaining Balance: 2212$
Remaining Years: 1 year"
