source_sheet_name,source_row_number,application_term,level,decision,school,parent_qa_requires_review,parent_qa_issue_count,record_index,property_type,property_location,property_lot_section_block_number,property_owned_shares,property_inherited,property_owned,property_area_raw,property_area,property_estimated_present_value_raw,property_estimated_present_value,property_estimated_value_currency_signal,property_estimated_value_currency_guess,property_mortgaged,property_is_mortgaged_flag,property_rented_income_raw,property_rented_income,property_planted_income_raw,property_planted_income,property_parse_method,property_review_flag,property_review_reasons,property_raw_block
Export,2,202710,Undergraduate,denied,"Official Secondary School Al Bazourieh, Tyre",0,0,1,Apartment,Mount-Lebanon Baabda,,,,,125,125.0,"60,000",60000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Mount-Lebanon Baabda
Lot, Section, Block Number: 28 - 12 - 4
Owned:
Area: 125
Estimated Present Value: 60,000
Mortgaged: No"
Export,2,202710,Undergraduate,denied,"Official Secondary School Al Bazourieh, Tyre",0,0,2,Apartment,South Lebanon Sour,,,,,140,140.0,"70,000",70000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares: 2400
Location: South Lebanon Sour
Lot, Section, Block Number: 1975 - 14 - 3
Owned:
Area: 140
Estimated Present Value: 70,000
Mortgaged: No"
Export,2,202710,Undergraduate,denied,"Official Secondary School Al Bazourieh, Tyre",0,0,3,Land,South Lebanon Sour,,,,,"11,259",11259.0,"150,000",150000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 1500
Location: South Lebanon Sour
Lot, Section, Block Number: 432 - 19
Inherited: 2009
Area: 11,259
Estimated Present Value: 150,000
Mortgaged: No
Planted - Income:"
Export,2,202710,Undergraduate,denied,"Official Secondary School Al Bazourieh, Tyre",0,0,4,Land,South Lebanon Sour,,,,,1000,1000.0,"45,000",45000.0,,unknown,no,0,,,150,150.0,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 2400
Location: South Lebanon Sour
Lot, Section, Block Number: 1221 - 19
Owned:
Area: 1000
Estimated Present Value: 45,000
Mortgaged: No
Planted - Income: 150"
Export,2,202710,Undergraduate,denied,"Official Secondary School Al Bazourieh, Tyre",0,0,5,Land,South Lebanon Sour,,,,,1200,1200.0,"50,000",50000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 2400
Location: South Lebanon Sour
Lot, Section, Block Number: 1771 - 19
Owned:
Area: 1200
Estimated Present Value: 50,000
Mortgaged: No"
Export,3,202710,Undergraduate,denied,The International School of Choueifat - Choueifat,0,0,1,Land,Mount-Lebanon Chouf,,,,,3529,3529.0,thirty thousand dollars,30000.0,usd,usd,no,0,,,0,0.0,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares:
Location: Mount-Lebanon Chouf
Lot, Section, Block Number: 299
Owned:
Area: 3529
Estimated Present Value: thirty thousand dollars
Mortgaged: No
Planted - Income: 0"
Export,3,202710,Undergraduate,denied,The International School of Choueifat - Choueifat,0,0,2,Apartment,Mount-Lebanon Aley,,,,,141,141.0,fourty thousand dollar,40000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares: 2400
Location: Mount-Lebanon Aley
Lot, Section, Block Number: 2409-7-A
Owned:
Area: 141
Estimated Present Value: fourty thousand dollar
Mortgaged: No"
Export,3,202710,Undergraduate,denied,The International School of Choueifat - Choueifat,0,0,3,Apartment,Mount-Lebanon Aley,,,,,133,133.0,fourty five thousand dollars,45000.0,usd,usd,yes,1,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares: 2400
Location: Mount-Lebanon Aley
Lot, Section, Block Number: 1991-6
Owned:
Area: 133
Estimated Present Value: fourty five thousand dollars
Mortgaged: Yes"
Export,3,202710,Undergraduate,denied,The International School of Choueifat - Choueifat,0,0,4,Land,Mount-Lebanon Chouf,,,,,1200,1200.0,twenty thousand dollars,20000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 2400
Location: Mount-Lebanon Chouf
Lot, Section, Block Number: 364
Inherited: 1995
Area: 1200
Estimated Present Value: twenty thousand dollars
Mortgaged: No"
Export,4,202510,Graduate,awarded,,1,2,1,Land,Mount-Lebanon Aley,,,,,1500,1500.0,"200,000$",200000.0,usd,usd,no,0,"15,000",15000.0,,,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: ملك رقبة
Location: Mount-Lebanon Aley
Lot, Section, Block Number: 844
Inherited: 1993
Owned: 1993
Area: 1500
Estimated Present Value: 200,000$
Mortgaged: No
Rented: 15,000"
Export,4,202510,Graduate,awarded,,1,2,2,House,Mount-Lebanon Aley,,,,,190,190.0,"80,000$",80000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: House
Info: Our house and the shop rental included in this lot, they are within the same building
Owned shares: 800
Location: Mount-Lebanon Aley
Lot, Section, Block Number: 1127
Inherited: 1993
Owned: 1993
Area: 190
Estimated Present Value: 80,000$
Mortgaged: No"
Export,4,202510,Graduate,awarded,,1,2,3,Business Premises,Mount-Lebanon Aley,,,,,100,100.0,"100,000$",100000.0,usd,usd,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Business Premises
Info: Shop rental, Our house and the shop rental included in this lot, they are within the same building
Owned shares: 800
Location: Mount-Lebanon Aley
Lot, Section, Block Number: 1127
Inherited: 1993
Area: 100
Estimated Present Value: 100,000$
Mortgaged: No"
Export,4,202510,Graduate,awarded,,1,2,4,Land,Mount-Lebanon Aley,,,,,2403,2403.0,"180,000$",180000.0,usd,usd,no,0,,,0,0.0,property_section_key_value,1,unknown_labels,"Type: Land
Info: Empty Land, Real estate lot number 20, 24, and 28 are related to the same land
Owned shares: 934
Location: Mount-Lebanon Aley
Lot, Section, Block Number: 20
Inherited: 1993
Area: 2403
Estimated Present Value: 180,000$
Mortgaged: No
Planted - Income: 0"
Export,4,202510,Graduate,awarded,,1,2,5,Land,Mount-Lebanon Aley,,,,,752,752.0,"50,000$",50000.0,usd,usd,no,0,,,0,0.0,property_section_key_value,1,unknown_labels,"Type: Land
Info: Empty Land, Real estate lot number 20, 24, and 28 are related to the same land
Owned shares: 800
Location: Mount-Lebanon Aley
Lot, Section, Block Number: 24
Inherited: 1993
Area: 752
Estimated Present Value: 50,000$
Mortgaged: No
Planted - Income: 0"
Export,4,202510,Graduate,awarded,,1,2,6,Land,Mount-Lebanon Aley,,,,,439,439.0,"20,000$",20000.0,usd,usd,no,0,,,0,0.0,property_section_key_value,1,unknown_labels,"Type: Land
Info: Empty Land, Real estate lot number 20, 24, and 28 are related to the same land
Owned shares: 800
Location: Mount-Lebanon Aley
Lot, Section, Block Number: 28
Inherited: 1993
Area: 439
Estimated Present Value: 20,000$
Mortgaged: No
Planted - Income: 0"
Export,5,202610,Undergraduate,awarded,"Saint Anthony's College for the Lebanese Maronite Order, Hammana",0,0,1,Land,Mount-Lebanon Aley,,,,,800,800.0,5000,5000.0,,unknown,no,0,,,0,0.0,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares:
Location: Mount-Lebanon Aley
Lot, Section, Block Number: 304
Owned:
Area: 800
Estimated Present Value: 5000
Mortgaged: No
Planted - Income: 0"
Export,5,202610,Undergraduate,awarded,"Saint Anthony's College for the Lebanese Maronite Order, Hammana",0,0,2,Land,Mount-Lebanon Aley,,,,,1060,1060.0,10000,10000.0,,unknown,no,0,,,0,0.0,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 2400
Location: Mount-Lebanon Aley
Lot, Section, Block Number: 1612
Owned:
Area: 1060
Estimated Present Value: 10000
Mortgaged: No
Planted - Income: 0"
Export,6,202710,Undergraduate,awarded,"Saints Coeurs Ain Najm, Ain Saadeh",0,0,1,Apartment,Mount-Lebanon Matn,,,,,165,165.0,165000,165000.0,,unknown,yes,1,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 1441 A
Owned:
Area: 165
Estimated Present Value: 165000
Mortgaged: Yes"
Export,7,202710,Undergraduate,awarded,"Lebanese National School, Bar Elias",0,0,1,Apartment,Beqaa Zahleh,,,,,240,240.0,"125,000",125000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Beqaa Zahleh
Lot, Section, Block Number: 184
Owned:
Area: 240
Estimated Present Value: 125,000
Mortgaged: No"
Export,7,202710,Undergraduate,awarded,"Lebanese National School, Bar Elias",0,0,2,Business Premises,Beirut Bachoura,,,,,290,290.0,"45,000",45000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Business Premises
Info:
Owned shares: 172
Location: Beirut Bachoura
Lot, Section, Block Number: 1432
Inherited: 5
Owned: 5
Area: 290
Estimated Present Value: 45,000
Mortgaged: No"
Export,7,202710,Undergraduate,awarded,"Lebanese National School, Bar Elias",0,0,3,Land,Beqaa Zahleh,,,,,7676,7676.0,"180,000",180000.0,,unknown,yes,1,,,,,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 800
Location: Beqaa Zahleh
Lot, Section, Block Number: 3690
Owned:
Area: 7676
Estimated Present Value: 180,000
Mortgaged: Yes"
Export,8,202610,Undergraduate,denied,"College Mariste Champville, Antelias",0,0,1,Apartment,Mount-Lebanon Matn,,,,,150,150.0,120 000USD,120.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares:
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 288,BlockB,B6
Inherited: 1996
Owned: 1996
Area: 150
Estimated Present Value: 120 000USD
Mortgaged: No"
Export,8,202610,Undergraduate,denied,"College Mariste Champville, Antelias",0,0,2,Apartment,Mount-Lebanon Matn,,,,,150,150.0,75000USD,,,,no,0,,,,,property_section_key_value,1,unknown_labels; estimated_value_unparsed,"Type: Apartment
Info:
Owned shares: 2400
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 288,BlockB,B4
Inherited: 1996
Owned: 1996
Area: 150
Estimated Present Value: 75000USD
Mortgaged: No"
Export,8,202610,Undergraduate,denied,"College Mariste Champville, Antelias",0,0,3,Apartment,Mount-Lebanon Matn,,,,,163,163.0,160 000USD,160.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Apartment
Info:
Owned shares: 2400
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 95 , 20
Owned:
Area: 163
Estimated Present Value: 160 000USD
Mortgaged: No"
Export,8,202610,Undergraduate,denied,"College Mariste Champville, Antelias",0,0,4,Land,Mount-Lebanon Matn,,,,,250,250.0,50000USD,,,,no,0,,,,,property_section_key_value,1,unknown_labels; estimated_value_unparsed,"Type: Land
Info:
Owned shares: 1200
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 287
Owned:
Area: 250
Estimated Present Value: 50000USD
Mortgaged: No"
Export,8,202610,Undergraduate,denied,"College Mariste Champville, Antelias",0,0,5,Land,Mount-Lebanon Matn,,,,,300,300.0,90000,90000.0,,unknown,no,0,,,,,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 2400
Location: Mount-Lebanon Matn
Lot, Section, Block Number: B8
Owned:
Area: 300
Estimated Present Value: 90000
Mortgaged: No"
Export,8,202610,Undergraduate,denied,"College Mariste Champville, Antelias",0,0,6,Land,Mount-Lebanon Matn,,,,,30,30.0,6000,6000.0,,unknown,no,0,,,0,0.0,property_section_key_value,1,unknown_labels,"Type: Land
Info:
Owned shares: 600
Location: Mount-Lebanon Matn
Lot, Section, Block Number: 636
Inherited: 1979
Area: 30
Estimated Present Value: 6000
Mortgaged: No
Planted - Income: 0"
Export,9,202510,Graduate,awarded,,1,2,1,House,Beirut Mousaitbeh,,,,,120,120.0,-,,,,no,0,200,200.0,,,property_section_key_value,1,unknown_labels; estimated_value_unparsed,"Type: House
Info: old house
Owned shares: -
Location: Beirut Mousaitbeh
Lot, Section, Block Number: 335 block B40
Inherited: 17/ 10/ 1997
Owned: 17/ 10/ 1997
Area: 120
Estimated Present Value: -
Mortgaged: No
Rented: 200"
Export,9,202510,Graduate,awarded,,1,2,2,Business Premises,Beirut Mousaitbeh,,,,,15,15.0,-,,,,no,0,,,,,property_section_key_value,1,unknown_labels; estimated_value_unparsed,"Type: Business Premises
Info: old Shop
Owned shares: 2400
Location: Beirut Mousaitbeh
Lot, Section, Block Number: 335 B33
Inherited: 18-8-2010
Owned: 18-8-2010
Area: 15
Estimated Present Value: -
Mortgaged: No"
