application_type_raw,application_type_clean,application_track,application_has_early_merit,application_type_inconsistent_flag,remaining_cap_50_rule_pct,level,application_term,nationality,applicant_citizenship,applicant_marital_status,applicant_plan_to_reside,father_status,father_employment_sector,father_position,father_employer_name,father_annual_income_from_work_status,father_work_status_benefits_total,father_self_employed_name,father_gross_income,father_net_income,father_ever_worked,father_unemployment_date,father_second_occupation_flag,father_job_info_clean,father_job_info_category,father_income_document,father_income_document_status,father_income_document_suspicious_flag,mother_status,mother_employment_sector,mother_position,mother_employer_name,mother_annual_income_from_work_status,mother_work_status_benefits_total,mother_self_employed_name,mother_gross_income,mother_net_income,mother_ever_worked,mother_unemployment_date,mother_second_occupation_flag,mother_job_info_clean,mother_job_info_category,mother_income_document,mother_income_document_status,siblings_at_aub_count,siblings_not_at_aub_count,siblings_other_total_tuition,siblings_other_total_financial_assistance,source_of_income_type,source_of_income_work_status,source_of_income_has_record,dependents_count,investments_count,investments_total_annual_profit,financial_assistants_count,financial_assistants_total_est_annual_amount,special_family_circumstances_category,special_family_circumstances_detail,loans_count,loans_total_amount,loans_total_monthly_payment,loans_total_remaining_balance,loans_max_remaining_years,properties_count,property_types,properties_total_area,properties_total_estimated_value,properties_mortgaged_count,properties_rented_income_total,properties_planted_income_total,cars_count,car_models,cars_mortgaged_count,travel_records_clean,travel_records_category,travel_records_missing_flag,certificate_ownership_clean,certificate_ownership_status,applicant_is_employed,applicant_position,spouse_citizenship,decision,over_and_above_decision,over_and_above_percentage_awarded,has_over_and_above,submission_date,need_pct,need_comment,merit_pct,merit_hist_pct,merit_comment,consent_to_share_information,bin_status,faid_missing_documents,faid_missing_documents_count,school,school_was_missing
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,50.0,Undergraduate,202710,Lebanon,Lebanon,Single,Rented Apartment,Self-Employed,,,,,,"Office of Engineer Reda Atwi, Lebanon",41796.0,12528.0,,,0,,missing,41796.0,parsed,0,Employed,Public Sector,Department of Scholastic and Pedagogical Guidance (DOPS),,,4898.0,,,,,,0,,missing,11316.0,parsed,0,2,19988.0,14340.0,not_applicable,,0,0,0,,0,,none,,0,,,,,5,apartment; land,13724.0,375000.0,0,,150.0,1,"Honda, CRV LX, 2009",0,"low for father, 0 for applicant and mother.",low,0,,missing,0,,,denied,,,0,2025-11-29,0.0,Denied as per Committee Decision FA Fall 2026-27,0.0,30.0,Lost the 30%: Student did not confirm the Early Admission,yes,denied,Certificate of Ownership نفي ملكية,1,"Official Secondary School Al Bazourieh, Tyre",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202710,Lebanon,Lebanon,Single,Parents Home,Employed,Private Sector,Human Resources Employee,AL SHAFAR,51000.0,44500.0,,,,,,0,ASGC; UAE,other,98000.0,parsed,0,Unemployed,,,,,,,,,No,,0,nssf,nssf,0.0,parsed,0,0,,,not_applicable,,0,0,0,,0,,other,Father's savings frozen in the bank due to the lebanenese economic crises,0,,,,,4,apartment; land,5003.0,135000.0,1,,0.0,1,"KIA, SPORTAGE, 2011",0,low for all,low,0,missing,missing,0,,,denied,,,0,2025-10-29,0.0,Denied as per Committee Decision FA Fall 2026-27,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2026-27,yes,denied,"Certificate of Ownership نفي ملكية
Residency certificate of your mother",2,The International School of Choueifat - Choueifat,0
,Regular Graduate Application,graduate_regular,0,0,50.0,Graduate,202510,Lebanon,Lebanon,Single,Parents Home,,,,,,,,,,,,0,deceased,deceased,0.0,parsed,0,Unemployed,,,,,,,,,No,,0,NSSF,nssf,0.0,parsed,0,0,,,not_applicable,,1,0,0,,1,3600.0,recent death of breadwinner,Death of my father several years ago (main breadwinner),0,,,,,6,business premises; house; land,5384.0,630000.0,0,15000.0,0.0,1,"BMW, 318, 2003",0,0,none,0,OC: 1/3 land in oumaraa aley + 3 1/3 lands in kobbeh aley+ 1/2 land in kobbeh aley,reported_ownership,0,,,awarded,no_o_a,,0,2024-07-04,20.0,Awarded 20% as per Committee Decision FA Fall 2024-25,,,,yes,awarded,,0,"International College (IC), Beirut",1
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202610,Lebanon,Lebanon Venezuela,Single,Parents Home,Unemployed,,Worker,PRO - MART (P.M),,,,,,Yes,2017-09-25,0,nssf,nssf,0.0,parsed,0,Previous Employment,,,,,,,,,,,0,nssf (ghayr mousajjal),nssf,0.0,parsed,0,1,1100.0,0.0,not_applicable,,0,2,0,,0,,none,,0,,,,,2,land,1860.0,15000.0,0,,0.0,4,"Peugeot, 307 XS, 2006; Peugeot, 206 XLINE, 2005; BMW, 330 CI, 2002; infinity, QX4, 2002",0,0 for all,none,0,OC: 1 land in majdelbaana aley + 1/3 land in majdelbaana aley,reported_ownership,0,,,awarded,no_o_a,,0,2024-11-26,50.0,Awarded 50% as per Committee Decision FA Fall 2025-26,,,,yes,awarded,Official Employment Certificate - Mother,1,"Saint Anthony's College for the Lebanese Maronite Order, Hammana",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202710,Lebanon,Lebanon,Single,Parents Home,Employed,Private Sector,Project Manager,Consulting Business Services,24000.0,5000.0,,,,,,0,project manager,other,29000.0,parsed,0,Unemployed,,French Teacher,SSCC Marjeyoun,,,,,,Yes,2007-06-30,0,NSSF,nssf,0.0,parsed,0,1,3300.0,0.0,not_applicable,,0,2,0,,0,,none,,0,,,,,1,apartment,165.0,165000.0,1,,,2,"Mercedes, C230, 2004; Mercedes, C300, 2017",0,zero for all,none,0,OC:1 Aprtment in Fanar,reported_ownership,0,,,awarded,no_o_a,,0,2025-11-05,20.0,Awarded 20% as per Committee Decision FA Fall 2026-27,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2026-27,yes,awarded,,0,"Saints Coeurs Ain Najm, Ain Saadeh",0
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202710,Lebanon,Lebanon United States,Single,Rented Apartment,Employed,Private Sector,Coordinator,Lebanese National School,18000.0,,,,,,,0,,missing,18000.0,parsed,0,Employed,Private Sector,English Coordinator,National Brotherhood School,,,,,,,,0,,missing,12000.0,parsed,0,1,2600.0,0.0,not_applicable,,0,1,1,2200.0,0,,none,,3,57000.0,770.0,42235.0,8.0,3,apartment; business premises; land,8206.0,350000.0,1,,,2,"Range Rover, Sports, 2013; Mercedes, C300, 2014",0,,missing,1,,missing,0,,,awarded,no_o_a,,0,2025-11-18,35.0,Awarded 35% as per Committee Decision FA Fall 2026-27,,,,yes,awarded,"Certificate of Ownership نفي ملكية
General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام",2,"Lebanese National School, Bar Elias",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,20.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Employed,Private Sector,Director for MEA region/ Chemical department,EGR Consumer Ltd,46800.0,3900.0,"Hydrochem SAL, Lebanon",0.0,0.0,,,1,,missing,50700.0,parsed,0,Employed,Public Sector,Assistant Deputy Director,,,10000.0,,,,,,0,,missing,21961.0,parsed,0,2,8040.0,0.0,not_applicable,,0,5,0,,0,,sickness,My grandmother has diabetes and went through 3 surgeries by now to amputate her toes,0,,,,,6,apartment; land,1043.0,221280.0,0,,0.0,1,"Jeep, CHEROKEE LIMITED 4X4, 2014",0,"very high for mother and father, missing for applicant",very_high,1,missing,missing,0,,,denied,,,0,2024-11-26,0.0,Denied as per Committee Decision FA Fall 2025-26,30.0,,Awarded 30% Early Admissions MERIT scholarship for FA Fall 2025-26,yes,denied,,0,"College Mariste Champville, Antelias",0
,Regular Graduate Application,graduate_regular,0,0,50.0,Graduate,202510,Lebanon,Lebanon,Single,Parents Home,,,,,,,,,,,,0,,missing,,deceased,0,Unemployed,,Secretary 1990-1991,Makassed Islamic Institution,,,,,,Yes,2000-06-28,0,NSSF,nssf,0.0,parsed,0,0,,,not_applicable,,1,1,0,,0,,other,"I'm seeking financial aid to cover my education since currently I am unemployed. The rental contract is unsigned because it was mistakenly issued in my deceased father's name. Despite this, we are following the terms of the existing agreement. Additionally, paperwork related to my father's estate is still awaiting approval at the Ministry of Finance. I have excelled academically and actively participated in community service and school activities alongside my teaching duties. This dedication to education and community involvement underscores my suitability for financial support. Without financial aid, maintaining my studies and covering essential living expenses will be challenging. Nevertheless, I remain committed to my educational and career aspirations. Financial assistance would greatly ease my financial strain, enabling me to concentrate on my studies and professional growth. Please note, I have applied to obtain the Certificates of Ownership, but I am still awaiting your email to proceed. Thank you for considering my application.",0,,,,,4,business premises; house,249.0,,0,500.0,,1,"Toyota, Yaris, 2015",0,"0 for mother and applicant, father deceased.",none,0,2 apts in Msaytbeh,reported_ownership,0,,,awarded,no_o_a,,0,2024-06-28,20.0,Awarded 20% as per Committee Decision FA Fall 2024-25,,,,yes,awarded,,0,"International College (IC), Beirut",1
Sophomore,Sophomore,sophomore_regular,0,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,AUB Dorms,Self-Employed,,,,,,"(private clinic), Lebanon",15000.0,2000.0,,,0,,missing,15000.0,parsed,0,Employed,Public Sector,Teacher,,,3700.0,,,,,,0,,missing,5234.0,parsed,1,0,,,not_applicable,,0,3,0,,0,,none,,0,,,,,1,apartment,43.0,30000.0,0,,,1,"Mercedes, C 180 Classic, 2002",0,0 for all,none,0,1 apt in Zgharta,reported_ownership,0,,,awarded,no_o_a,,0,2024-11-17,50.0,Awarded 50% as per Committee Decision FA Fall 2025-26,,,,yes,awarded,,0,"Al Azm School, Tripoli",0
Early Merit Sophomore,Early Merit Sophomore,early_merit,1,0,50.0,Undergraduate,202610,Lebanon,Lebanon,Single,Parents Home,Unemployed,,General Manager,Rahal Insurance,,,,,,Yes,2024-03-19,0,nssf + termination letter,nssf,0.0,parsed,0,Employed,Public Sector,Teacher,,,,,,,,,0,"Teacher, 24 hours a week,150,000 lbp per hour.",other,1920.0,parsed,0,0,,,not_applicable,,0,1,0,,0,,none,,0,,,,,2,apartment,203.0,90000.0,0,3000.0,,2,"DUSTER, SEDAN, 2015; BMW, SEDAN, 2016",0,low for mother and app; missing for father,low,1,OC: 2 apts in msaitbeh beirut + 1/2 apt in dekerman saida + 1/3 apt in abra saida,reported_ownership,0,,,awarded,no_o_a,,0,2024-10-28,50.0,Awarded 50% as per Committee Decision FA Fall 2025-26,0.0,30.0,Lost the 30%: Student did not confirm the Early Admission,yes,awarded,General Security Travel Records إفادة تنقلات دخول خروج من الأمن العام,1,"Beirut Babptist School (BBS), Mouseitbeh",0
